DATE_CALENDAR,CLOUD_BASE_HEIGHT_24HR_DEP,CLOUD_BASE_HEIGHT_AVG,CLOUD_BASE_HEIGHT_MAX,CLOUD_BASE_HEIGHT_MIN,CLOUD_COVER_24HR_DEP,CLOUD_COVER_AVG,CLOUD_COVER_MAX,CLOUD_COVER_MIN,CLOUD_COVER_PERC_24HR_DEP,CLOUD_COVER_PERC_AVG,CLOUD_COVER_PERC_MAX,CLOUD_COVER_PERC_MIN,DEGREE_DAYS_COOLING,DEGREE_DAYS_EFFECTIVE,DEGREE_DAYS_FREEZING,DEGREE_DAYS_GROWING,DEGREE_DAYS_HEATING,EVAPOTRANSPIRATION_LWE_TOTAL,HAS_FREEZING_RAIN,FREEZING_RAIN_LWE_TOTAL,FREEZING_RAIN_LWE_RATE_AVG,FREEZING_RAIN_LWE_RATE_MAX,FREEZING_RAIN_LWE_RATE_MIN,HUMIDITY_RELATIVE_24HR_DEP,HUMIDITY_RELATIVE_AVG,HUMIDITY_RELATIVE_MAX,HUMIDITY_RELATIVE_MIN,HAS_ICE,ICE_LWE_TOTAL,ICE_LWE_RATE_AVG,ICE_LWE_RATE_MAX,ICE_LWE_RATE_MIN,INDEX_UV_24HR_DEP,INDEX_UV_AVG,INDEX_UV_MAX,INDEX_UV_MIN,MINUTES_OF_FREEZING_RAIN_TOTAL,MINUTES_OF_ICE_TOTAL,MINUTES_OF_PRECIPITATION_TOTAL,MINUTES_OF_RAIN_TOTAL,MINUTES_OF_SLEET_TOTAL,MINUTES_OF_SNOW_TOTAL,MINUTES_OF_SUN_TOTAL,MOISTURE_SOIL_AVG,MOISTURE_SOIL_MAX,MOISTURE_SOIL_MIN,HAS_PRECIPITATION,PRECIPITATION_INTENSITY_MAX,PRECIPITATION_LWE_TOTAL,PRECIPITATION_LWE_RATE_AVG,PRECIPITATION_LWE_RATE_MAX,PRECIPITATION_LWE_RATE_MIN,PRECIPITATION_TYPE_PREDOMINANT,PRECIPITATION_TYPE_DESC_PREDOMINANT,PRESSURE_24HR_DEP,PRESSURE_AVG,PRESSURE_MAX,PRESSURE_MIN,PRESSURE_MSL_24HR_DEP,PRESSURE_MSL_AVG,PRESSURE_MSL_MAX,PRESSURE_MSL_MIN,HAS_RAIN,RAIN_LWE_TOTAL,RAIN_LWE_RATE_AVG,RAIN_LWE_RATE_MAX,RAIN_LWE_RATE_MIN,HAS_SLEET,SLEET_LWE_TOTAL,SLEET_LWE_RATE_AVG,SLEET_LWE_RATE_MAX,SLEET_LWE_RATE_MIN,HAS_SNOW,SNOW_TOTAL,SNOW_AVG,SNOW_MAX,SNOW_MIN,SNOW_COVER_24HR_DEP,SNOW_COVER_AVG,SNOW_COVER_MAX,SNOW_COVER_MIN,SNOW_DEPTH_AVG,SNOW_DEPTH_MAX,SNOW_DEPTH_MIN,SNOW_DRIFTING_INTENSITY_MAX,SNOW_LIQUID_RATIO_ACCUWEATHER_AVG,SNOW_LIQUID_RATIO_ACCUWEATHER_MIN,SNOW_LIQUID_RATIO_ACCUWEATHER_MAX,SNOW_LIQUID_RATIO_COBB_2005_AVG,SNOW_LIQUID_RATIO_COBB_2005_MAX,SNOW_LIQUID_RATIO_COBB_2005_MIN,SNOW_LIQUID_RATIO_COBB_2011_AVG,SNOW_LIQUID_RATIO_COBB_2011_MAX,SNOW_LIQUID_RATIO_COBB_2011_MIN,SNOW_LIQUID_RATIO_KUCHERA_AVG,SNOW_LIQUID_RATIO_KUCHERA_MAX,SNOW_LIQUID_RATIO_KUCHERA_MIN,SNOW_LIQUID_RATIO_NCEP_AVG,SNOW_LIQUID_RATIO_NCEP_MAX,SNOW_LIQUID_RATIO_NCEP_MIN,SNOW_LWE_TOTAL,SNOW_LWE_RATE_AVG,SNOW_LWE_RATE_MAX,SNOW_LWE_RATE_MIN,SNOW_TYPE_DESC_PREDOMINANT,SOLAR_IRRADIANCE_AVG,SOLAR_IRRADIANCE_MAX,SOLAR_IRRADIANCE_TOTAL,SOLAR_RADIATION_NET_AVG,SOLAR_RADIATION_NET_MAX,SOLAR_RADIATION_NET_TOTAL,TEMPERATURE_24HR_DEP,TEMPERATURE_AVG,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_DEW_POINT_24HR_DEP,TEMPERATURE_DEW_POINT_AVG,TEMPERATURE_DEW_POINT_MAX,TEMPERATURE_DEW_POINT_MIN,TEMPERATURE_HEAT_INDEX_24HR_DEP,TEMPERATURE_HEAT_INDEX_AVG,TEMPERATURE_HEAT_INDEX_MAX,TEMPERATURE_HEAT_INDEX_MIN,TEMPERATURE_REALFEEL_24HR_DEP,TEMPERATURE_REALFEEL_AVG,TEMPERATURE_REALFEEL_MAX,TEMPERATURE_REALFEEL_MIN,TEMPERATURE_REALFEEL_SHADE_24HR_DEP,TEMPERATURE_REALFEEL_SHADE_AVG,TEMPERATURE_REALFEEL_SHADE_MAX,TEMPERATURE_REALFEEL_SHADE_MIN,TEMPERATURE_SOIL_24HR_DEP,TEMPERATURE_SOIL_AVG,TEMPERATURE_SOIL_MAX,TEMPERATURE_SOIL_MIN,TEMPERATURE_WETBULB_24HR_DEP,TEMPERATURE_WETBULB_AVG,TEMPERATURE_WETBULB_MAX,TEMPERATURE_WETBULB_MIN,TEMPERATURE_WETBULB_GLOBE_24HR_DEP,TEMPERATURE_WETBULB_GLOBE_AVG,TEMPERATURE_WETBULB_GLOBE_MAX,TEMPERATURE_WETBULB_GLOBE_MIN,TEMPERATURE_WIND_CHILL_24HR_DEP,TEMPERATURE_WIND_CHILL_AVG,TEMPERATURE_WIND_CHILL_MAX,TEMPERATURE_WIND_CHILL_MIN,VISIBILITY_24HR_DEP,VISIBILITY_AVG,VISIBILITY_MAX,VISIBILITY_MIN,WIND_DIRECTION_24HR_DEP,WIND_DIRECTION_AVG,WIND_DIRECTION_PREDOMINANT,WIND_GUST_24HR_DEP,WIND_GUST_AVG,WIND_GUST_MAX,WIND_GUST_MIN,WIND_GUST_INSTANTANEOUS_24HR_DEP,WIND_GUST_INSTANTANEOUS_AVG,WIND_GUST_INSTANTANEOUS_MAX,WIND_GUST_INSTANTANEOUS_MIN,WIND_SPEED_24HR_DEP,WIND_SPEED_AVG,WIND_SPEED_MAX,WIND_SPEED_MIN
2021-03-13,-1376,1063,1063,1063,-0.01,0.18,0.74,0.00,-1,17,74,0,0.00,21.10,0.60,0.00,18.93,1.02000,FALSE,0.00000,0.00000,0.00000,0.00000,-8.60,58.29,69.68,49.68,FALSE,0.00000,0.00000,0.00000,0.00000,0.20,1.12,4.08,0.00,0,0,0,0,0,0,609,0.22,0.23,0.22,FALSE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,428.32,101664.89,102139.64,100852.26,442.09,102702.71,103193.64,101871.40,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,0.87,0.00,20.77,1.31,31.41,0.00,0.92,22.10,0.00,8.39,14.66,0.70,8.30,10.33,6.17,0.00000,0.00000,0.00000,0.00000,None,220.34,749.03,5288.26,145.63,522.64,3495.03,-2.47,-0.60,3.66,-4.65,-4.05,-7.85,-2.88,-11.20,,,,,-1.42,-4.70,-1.06,-9.63,-1.57,-4.85,-1.06,-9.63,0.07,0.41,0.44,0.37,-2.80,-3.59,0.01,-7.05,-2.47,-0.60,3.66,-4.65,-0.74,-10.94,-9.19,-12.83,0.108,16.000,16.000,16.000,0.6,277.0,265.1,-2.52,8.59,11.63,4.30,-2.40,8.19,10.84,3.73,-1.51,5.11,7.44,2.27
2021-03-14,255,1318,2482,586,-0.03,0.15,0.85,0.00,-2,15,84,0,0.00,21.50,0.26,0.00,18.59,1.91100,FALSE,0.00000,0.00000,0.00000,0.00000,2.70,60.99,81.42,45.68,FALSE,0.00000,0.00000,0.00000,0.00000,-0.31,0.82,3.89,0.00,0,0,0,0,0,0,466,0.22,0.23,0.22,FALSE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,-230.48,101434.41,102276.05,100825.87,-234.27,102468.45,103330.88,101842.34,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,13.43,1.96,8.13,9.71,6.49,0.00000,0.00000,0.00000,0.00000,None,195.23,684.80,4685.51,132.98,476.95,3191.60,0.35,-0.26,3.03,-3.42,0.69,-7.16,-1.82,-12.71,,,,,-1.86,-6.56,-2.44,-10.73,-1.71,-6.56,-2.44,-10.73,0.03,0.44,0.47,0.42,0.58,-3.01,0.47,-6.49,0.35,-0.26,3.03,-3.42,-0.67,-11.61,-9.63,-13.32,-0.029,15.971,16.000,15.550,44.2,321.3,325.9,3.17,11.76,15.89,5.55,3.20,11.39,15.75,5.44,1.90,7.00,9.30,3.81
2021-03-15,7448,8767,11406,6184,0.18,0.33,1.00,0.00,18,33,100,0,0.00,25.35,4.79,0.00,23.12,1.69400,TRUE,0.00000,0.00000,0.00000,0.00000,-10.76,50.23,60.76,39.61,TRUE,0.00000,0.00000,0.00000,0.00000,0.33,1.15,4.18,0.00,0,0,0,0,0,0,538,0.22,0.23,0.22,TRUE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,770.80,102205.22,102609.84,101604.92,796.31,103264.76,103684.27,102650.97,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,0.83,0.00,10.00,0.83,10.00,0.00,0.60,7.20,0.00,14.80,17.47,12.95,10.39,11.73,9.47,0.00000,0.00000,0.00000,0.00000,None,228.47,769.19,5483.21,145.28,536.66,3486.68,-4.53,-4.79,-2.94,-7.46,-6.49,-13.65,-9.65,-15.81,,,,,-2.42,-8.98,-1.87,-14.23,-2.73,-9.29,-4.58,-14.23,0.02,0.46,0.48,0.44,-4.58,-7.58,-5.61,-9.87,-4.53,-4.79,-2.94,-7.46,-1.31,-12.92,-10.82,-15.01,0.029,16.000,16.000,16.000,-32.3,71.1,38.4,-3.98,7.78,10.45,5.42,-3.89,7.50,10.47,5.12,-2.68,4.32,6.52,2.04
2021-03-16,-6705,2061,5232,424,0.55,0.88,1.00,0.45,55,88,99,44,0.00,20.45,0.00,0.00,18.22,1.04300,TRUE,0.00000,0.00000,0.00000,0.00000,20.38,70.61,87.73,58.91,TRUE,0.00000,0.00000,0.00000,0.00000,-0.72,0.43,2.12,0.00,0,0,0,0,0,0,91,0.22,0.23,0.22,TRUE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,-1217.38,100987.84,101484.27,100764.23,-1248.87,102015.89,102527.56,101784.87,TRUE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,TRUE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,14.54,0.00,47.86,14.06,49.21,0.00,8.69,25.76,0.00,7.76,12.57,4.96,7.94,9.28,7.23,0.00000,0.00000,0.00000,0.00000,None,108.58,465.57,2606.00,73.94,323.73,1774.51,4.90,0.11,1.53,-2.56,8.98,-4.67,-0.67,-9.42,,,,,4.11,-4.86,0.90,-8.79,4.43,-4.86,0.90,-8.79,-0.01,0.45,0.47,0.43,5.43,-2.16,0.02,-5.30,4.90,0.11,1.53,-2.56,2.11,-10.81,-8.32,-12.45,-0.179,15.821,16.000,15.227,-16.3,87.4,80.3,0.95,8.73,11.48,3.11,0.81,8.30,11.20,2.88,1.16,5.48,7.33,2.03
2021-03-17,639,2700,7604,680,-0.07,0.81,1.00,0.47,-7,81,100,46,0.00,17.52,0.00,0.00,16.76,0.04000,FALSE,0.00000,0.00000,0.00000,0.00000,14.57,85.18,92.23,76.46,FALSE,0.00000,0.00000,0.00000,0.00000,0.19,0.62,2.73,0.00,0,0,0,0,0,0,150,0.22,0.23,0.22,TRUE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,-186.98,100800.86,101025.45,100573.16,-194.38,101821.51,102051.80,101591.74,TRUE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,9.68,0.00,43.27,7.53,31.59,0.00,5.69,21.17,0.00,4.90,8.16,0.00,7.21,8.04,5.83,0.00000,0.00000,0.00000,0.00000,None,205.33,750.93,4927.81,142.38,523.90,3417.24,1.46,1.57,4.34,-0.07,4.00,-0.67,0.79,-2.35,,,,,6.52,1.66,7.13,-1.20,5.87,1.01,4.55,-1.20,-0.07,0.39,0.42,0.34,2.40,0.24,2.20,-1.38,1.46,1.57,4.34,-0.07,2.72,-8.08,-6.13,-9.20,-0.692,15.129,16.000,13.988,-4.3,91.6,54.8,-4.68,4.05,6.18,2.49,-4.54,3.76,6.07,2.06,-3.43,2.05,3.03,1.30
2021-03-18,774,3475,7198,879,0.17,0.98,1.00,0.53,16,97,100,52,0.00,18.74,0.00,0.00,16.36,0.64800,TRUE,0.00000,0.00000,0.00000,0.00000,-9.34,75.84,93.27,51.88,TRUE,0.00000,0.00000,0.00000,0.00000,-0.28,0.34,1.09,0.00,0,0,0,0,0,0,0,0.22,0.23,0.22,TRUE,,0.00000,0.01550,0.37200,0.00000,0,No precipitation,19.49,100820.35,101473.57,100566.66,18.22,101839.73,102513.44,101584.55,TRUE,0.00000,0.01550,0.37200,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,TRUE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,12.68,0.00,27.98,11.81,22.00,0.00,9.98,18.42,0.00,4.09,11.41,0.00,7.02,8.85,5.94,0.00000,0.00000,0.00000,0.00000,None,110.51,502.22,2652.33,76.61,348.21,1838.71,0.40,1.97,4.12,-1.69,-1.42,-2.08,0.28,-9.72,,,,,-5.17,-3.51,0.65,-10.45,-4.51,-3.51,0.65,-10.45,0.00,0.39,0.47,0.34,-0.26,-0.02,1.66,-4.76,0.40,1.97,4.12,-1.69,-2.10,-10.18,-8.42,-13.26,-0.036,15.092,16.000,14.013,68.0,23.7,24.8,6.29,10.34,14.22,3.58,6.52,10.28,14.15,4.05,4.47,6.51,9.42,2.18
2021-03-19,3927,7402,7402,7402,-0.98,0.00,0.00,0.00,-97,0,0,0,0.00,22.02,1.49,0.00,19.82,1.43300,FALSE,0.00000,0.00000,0.00000,0.00000,-18.49,57.34,76.33,43.51,FALSE,0.00000,0.00000,0.00000,0.00000,0.88,1.22,4.38,0.00,0,0,0,0,0,0,660,0.22,0.23,0.22,FALSE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,1375.46,102195.80,102498.40,101541.05,1402.60,103242.34,103551.45,102585.45,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.31,14.34,5.62,8.75,10.16,7.40,0.00000,0.00000,0.00000,0.00000,None,239.73,792.67,5753.58,160.41,553.11,3849.96,-3.46,-1.49,1.20,-4.33,-6.87,-8.95,-4.40,-12.46,,,,,-2.09,-5.60,3.51,-12.51,-2.51,-6.02,0.49,-12.51,0.12,0.51,0.54,0.48,-4.37,-4.39,-1.86,-7.10,-3.46,-1.49,1.20,-4.33,-1.21,-11.39,-8.23,-14.20,0.908,16.000,16.000,16.000,-74.1,97.8,22.6,-1.94,8.40,14.18,4.23,-2.40,7.88,13.94,4.09,-1.56,4.96,9.19,1.67
2021-03-20,4789,,,,0.01,0.01,0.09,0.00,0,0,8,0,0.00,17.61,0.00,0.00,16.31,0.18700,FALSE,0.00000,0.00000,0.00000,0.00000,11.92,69.26,81.18,59.16,FALSE,0.00000,0.00000,0.00000,0.00000,0.02,1.23,4.43,0.00,0,0,0,0,0,0,646,0.22,0.23,0.22,FALSE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,189.89,102385.69,102573.12,102237.81,178.43,103420.77,103613.47,103260.66,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,9.79,0.00,6.99,8.44,5.25,0.00000,0.00000,0.00000,0.00000,None,239.95,792.26,5758.71,164.57,552.79,3949.59,3.51,2.02,5.50,-0.89,5.87,-3.09,-0.49,-5.65,,,,,5.53,-0.07,5.50,-4.15,5.49,-0.53,4.83,-4.15,-0.03,0.48,0.51,0.44,3.85,-0.54,2.25,-3.16,3.51,2.02,5.50,-0.89,2.46,-8.93,-7.19,-10.49,-0.025,15.975,16.000,15.581,-25.3,236.9,234.4,-3.13,5.27,6.25,4.11,-2.77,5.11,6.10,3.94,-1.40,3.56,4.76,2.83
2021-03-21,0,,,,-0.01,0.00,0.00,0.00,0,0,0,0,0.00,16.19,0.00,0.00,15.40,0.08500,FALSE,0.00000,0.00000,0.00000,0.00000,5.83,75.10,84.60,62.26,FALSE,0.00000,0.00000,0.00000,0.00000,0.02,1.25,4.48,0.00,0,0,0,0,0,0,660,0.22,0.23,0.22,FALSE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,-268.33,102117.37,102394.35,101738.55,-274.51,103146.26,103421.55,102759.63,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.65,6.75,0.00,6.54,7.68,5.12,0.00000,0.00000,0.00000,0.00000,None,244.64,802.05,5871.43,172.76,567.34,4146.29,0.91,2.93,5.76,0.64,1.98,-1.11,0.87,-2.83,,,,,3.09,3.03,9.31,-0.81,2.70,2.17,5.91,-0.81,-0.12,0.36,0.46,0.26,1.30,0.75,2.52,-1.02,0.91,2.93,5.76,0.64,1.35,-7.58,-5.39,-8.97,-0.112,15.862,16.000,15.421,-37.2,160.3,132.7,-1.04,4.22,6.74,2.46,-1.13,3.98,6.70,2.21,-1.28,2.29,3.64,1.08
2021-03-22,-4037,8154,9551,7320,0.36,0.36,0.99,0.00,35,35,99,0,0.00,14.77,0.00,0.00,13.91,0.17200,FALSE,0.00000,0.00000,0.00000,0.00000,-5.09,70.01,78.18,58.04,FALSE,0.00000,0.00000,0.00000,0.00000,0.00,1.26,4.53,0.00,0,0,0,0,0,0,453,0.22,0.23,0.22,FALSE,,0.00000,0.00000,0.00000,0.00000,0,No precipitation,-718.11,101399.26,101697.27,101066.73,-730.81,102415.45,102714.84,102078.16,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,FALSE,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0.0000,0.0000,0.0000,None,2.92,0.00,10.00,2.92,10.00,0.00,2.10,7.20,0.00,1.07,4.97,0.00,5.79,7.24,4.11,0.00000,0.00000,0.00000,0.00000,None,238.93,782.50,5734.36,182.17,598.42,4372.01,1.49,4.42,7.77,1.53,0.46,-0.65,0.85,-2.12,,,,,0.71,3.74,7.00,-0.13,1.19,3.36,6.54,-0.13,-0.07,0.29,0.40,0.18,0.99,1.74,3.95,-0.35,1.49,4.42,7.77,1.53,0.42,-7.16,-5.11,-8.80,-0.047,15.815,16.000,15.056,-7.8,168.1,174.4,0.52,4.75,7.04,2.11,0.60,4.57,6.96,2.13,0.46,2.75,3.78,0.77
